Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Stress (MPa)
1	15.	5.	95.	-1.4433
2	10.	5.	95.	-2.003
3	5.	5.	95.	-1.4433
4	15.	5.	90.	-5.4436e-003
5	10.	5.	90.	-0.16979
6	5.	5.	90.	-5.4437e-003
7	15.	5.	85.	-1.1783e-003
8	10.	5.	85.	-1.8894e-003
9	5.	5.	85.	-1.1783e-003
10	15.	5.	80.	2.2074e-002
11	10.	5.	80.	3.6402e-002
12	5.	5.	80.	2.2074e-002
13	15.	5.	75.	7.1385e-003
14	10.	5.	75.	1.491e-002
15	5.	5.	75.	7.1385e-003
16	15.	5.	70.	2.8295e-003
17	10.	5.	70.	5.5379e-003
18	5.	5.	70.	2.8294e-003
19	15.	5.	65.	6.8667e-004
20	10.	5.	65.	1.5375e-003
21	5.	5.	65.	6.8674e-004
22	15.	5.	60.	1.4146e-004
23	10.	5.	60.	3.0646e-004
24	5.	5.	60.	1.4147e-004
25	15.	5.	55.	5.725e-006
26	10.	5.	55.	2.7601e-005
27	5.	5.	55.	5.7518e-006
28	15.	5.	50.	-1.1162e-005
29	10.	5.	50.	-2.0393e-005
30	5.	5.	50.	-1.1196e-005
31	15.	5.	45.	-1.0248e-005
32	10.	5.	45.	-2.0713e-005
33	5.	5.	45.	-1.028e-005
34	15.	5.	40.	-1.1751e-005
35	10.	5.	40.	-1.9333e-005
36	5.	5.	40.	-1.1681e-005
37	15.	5.	35.	3.2053e-006
38	10.	5.	35.	7.4002e-006
39	5.	5.	35.	3.1852e-006
40	15.	5.	30.	6.4318e-005
41	10.	5.	30.	1.8236e-004
42	5.	5.	30.	6.4332e-005
43	15.	5.	25.	3.4761e-004
44	10.	5.	25.	7.4767e-004
45	5.	5.	25.	3.4761e-004
46	15.	5.	20.	8.8249e-004
47	10.	5.	20.	2.1566e-003
48	5.	5.	20.	8.8248e-004
49	15.	5.	15.	8.4032e-004
50	10.	5.	15.	2.8644e-003
51	5.	5.	15.	8.4028e-004
52	15.	5.	10.	2.5895e-003
53	10.	5.	10.	3.9875e-003
54	5.	5.	10.	2.5895e-003
55	15.	5.	5.	1.0682e-002
56	10.	5.	5.	2.9819e-002
57	5.	5.	5.	1.0682e-002
58	15.	10.	95.	-0.43052
59	10.	10.	95.	-0.63021
60	5.	10.	95.	-0.43052
61	15.	10.	90.	3.5722e-002
62	10.	10.	90.	-2.5719e-002
63	5.	10.	90.	3.5722e-002
64	15.	10.	85.	-3.6321e-004
65	10.	10.	85.	2.759e-003
66	5.	10.	85.	-3.6309e-004
67	15.	10.	80.	1.0465e-002
68	10.	10.	80.	1.5752e-002
69	5.	10.	80.	1.0465e-002
70	15.	10.	75.	2.9862e-003
71	10.	10.	75.	6.4203e-003
72	5.	10.	75.	2.9862e-003
73	15.	10.	70.	1.1633e-003
74	10.	10.	70.	2.1037e-003
75	5.	10.	70.	1.1633e-003
76	15.	10.	65.	2.6024e-004
77	10.	10.	65.	6.3123e-004
78	5.	10.	65.	2.6029e-004
79	15.	10.	60.	5.3631e-005
80	10.	10.	60.	1.0403e-004
81	5.	10.	60.	5.3659e-005
82	15.	10.	55.	-3.8314e-007
83	10.	10.	55.	1.2902e-005
84	5.	10.	55.	-3.664e-007
85	15.	10.	50.	-4.183e-006
86	10.	10.	50.	-8.7953e-006
87	5.	10.	50.	-4.2251e-006
88	15.	10.	45.	-4.5615e-006
89	10.	10.	45.	-7.5482e-006
90	5.	10.	45.	-4.581e-006
91	15.	10.	40.	-5.5103e-006
92	10.	10.	40.	-1.0614e-005
93	5.	10.	40.	-5.4689e-006
94	15.	10.	35.	-8.3079e-006
95	10.	10.	35.	-5.5784e-006
96	5.	10.	35.	-8.3167e-006
97	15.	10.	30.	-4.9603e-006
98	10.	10.	30.	3.635e-006
99	5.	10.	30.	-4.9862e-006
100	15.	10.	25.	1.7989e-005
101	10.	10.	25.	1.3015e-004
102	5.	10.	25.	1.7918e-005
103	15.	10.	20.	6.5696e-005
104	10.	10.	20.	1.7013e-004
105	5.	10.	20.	6.5669e-005
106	15.	10.	15.	1.9672e-004
107	10.	10.	15.	5.8598e-004
108	5.	10.	15.	1.9673e-004
109	15.	10.	10.	1.51e-003
110	10.	10.	10.	2.4913e-003
111	5.	10.	10.	1.51e-003
112	15.	10.	5.	7.1331e-003
113	10.	10.	5.	1.875e-002
114	5.	10.	5.	7.1331e-003
115	15.	15.	95.	0.43052
116	10.	15.	95.	0.63021
117	5.	15.	95.	0.43052
118	15.	15.	90.	-3.5722e-002
119	10.	15.	90.	2.5719e-002
120	5.	15.	90.	-3.5722e-002
121	15.	15.	85.	3.6312e-004
122	10.	15.	85.	-2.759e-003
123	5.	15.	85.	3.6315e-004
124	15.	15.	80.	-1.0465e-002
125	10.	15.	80.	-1.5752e-002
126	5.	15.	80.	-1.0465e-002
127	15.	15.	75.	-2.9863e-003
128	10.	15.	75.	-6.4203e-003
129	5.	15.	75.	-2.9862e-003
